Maturity (years),Periods i,Spot rate (%),STRIP price (€),Position vs par
0.5,1,2.1581829894,98.9324285777177,Below par
1.0,2,2.3377346321,97.70262330966906,Below par
1.5,3,2.4243723534,96.44985585477748,Below par
2.0,4,2.4681846638,95.21224966328299,Below par
2.5,5,2.494950123,93.9894249933862,Below par
3.0,6,2.517301894,92.76991906005969,Below par
3.5,7,2.5409090787,91.54206082695303,Below par
4.0,8,2.567863074,90.29747203126254,Below par
4.5,9,2.5985060137,89.03152544113726,Below par
5.0,10,2.6323978515,87.74272535267305,Below par
